Income or Expence,Category,Budget category,Committee + Income Detail,Source of Funds,Line Items,2023 Asking Budget,2/14/23 Draft Budget,2023 Budget,"Comments (format: date, name, optional why; date, name, optional why)",Position,Base Salary or Other,size,Recurring or 1-time Expense,0,
Expense,Adult Ed,Adult Ed,Adult Ed,Undesignated,6410 Devotional Literature/Small groups Literature,,-$225,-$225,,Not a position,,Large church,Recurring,1,
Expense,Adult Ed,Adult Ed,Adult Ed,Undesignated,6415 Faith Forming Weekend,,,$0,,,,,2023 actual but not 2022 or 2023 budget,1,
Expense,Adult Ed,Adult Ed,Adult Ed,Undesignated,6420 Guest Spearkers and Adult Forum,,-$180,-$180,,Not a position,,Large church,Recurring,1,
Expense,Adult Ed,Adult Ed,Adult Ed,Undesignated,6430 Lenten Programming,,-$450,-$450,,Not a position,,Large church,Recurring,1,
Expense,Adult Ed,Adult Ed,Adult Ed,Undesignated,6440 Resources (Adult Ed.),,-$180,-$180,,Not a position,,Large church,Recurring,1,
Expense,Adult Ed,Adult Ed,Adult Ed,Undesignated,6445 Adult Retreats and Workshops,,-$900,-$900,,Not a position,,Large church,Recurring,1,
Expense,Adult Ed,Adult Ed,Adult Ed,Undesignated,6450 Small Groups,,-$180,-$180,,Not a position,,Large church,Recurring,1,
Expense,Adult Ed,Library,Adult Ed,Undesignated,6404 Period./Books/Newsp.for ass. pastor,,"-$1,000","-$1,000",,Not a position,,Large church,Recurring,1,
Expense,Adult Ed,Library,Adult Ed,Undesignated,6405 Library Books,,-$450,-$450,,Not a position,,Large church,Recurring,1,
Expense,Adult Ed,Library,Adult Ed,Undesignated,6435 Library Periodicals & Fees,,-$180,-$180,,Not a position,,Large church,Recurring,1,
Expense,Adult Ed,Library,Adult Ed,Undesignated,6460 Library Supplies & Equipment,,-$180,-$180,,Not a position,,Large church,Recurring,1,
Expense,Archives,Archives,Archives,Undesignated,8110 Archives & Restoration,,"-$2,000","-$2,000",,Not a position,,Large church,Recurring,2,
Expense,Archives,Archives,Archives,Tercentenary Fund,8111 Four Chaplains(6 people),,"-$1,500","-$1,500",,Not a position,,Large church,Recurring,2,
Expense,Archives,Archives,Archives,Undesignated,8125 Supplies Archives,,-$250,-$250,,Not a position,,Large church,Recurring,2,
Expense,Care & Support,Care & Support,Care & Support,Undesignated,6505 Honorariums,,-$500,-$500,,Not a position,,Small Church,Recurring,3,
Expense,Care & Support,Care & Support,Care & Support,Undesignated,6515 Resources Grief Booklets,,-$200,-$200,,Not a position,,Small Church,Recurring,3,
Expense,Care & Support,Care & Support,Care & Support,Undesignated,6520 Care & Support Materials,,-$300,-$300,,Not a position,,Small Church,Recurring,3,
Expense,Care & Support,Care & Support,Care & Support,Undesignated,6521 Prayer Shawl,,-$200,-$200,,Not a position,,Small Church,Recurring,3,
Expense,Care & Support,Care & Support,Care & Support,Undesignated,6522 Flowers Support & Care,,-$300,-$300,,Not a position,,Small Church,Recurring,3,
Expense,Communications,Communications,Communications,Undesignated,9111 Advertising,,-$500,-$500,,Not a position,,Large church,Recurring,4,
Expense,Communications,Communications,Communications,Undesignated,9112 Website,,"-$1,000","-$1,000",,Not a position,,Large church,Recurring,4,
Expense,Communications,Communications,Communications,Undesignated,9113 Communication Technology,,"-$1,000","-$1,000",,Not a position,,Large church,Recurring,4,
Expense,Communications,Communications,Communications,Undesignated,9114 Volunteer Needs,,-$500,-$500,,Not a position,,Large church,Recurring,4,
Expense,Communications,Communications,Communications,Undesignated,9115 Paper,,"-$2,000","-$2,000",,Not a position,,Large church,Recurring,4,
Expense,Communications,Communications,Communications,Undesignated,9116 Supplies (new),,-$500,-$500,,Not a position,,Large church,Recurring,4,
Income,Contributions,Contributions,Contributions,Undesignated,4001 Classis Assessments,,"$14,000","$14,000",,Not a position,,Small Church,Recurring,5,
Income,Contributions,Contributions,Contributions,Undesignated,4011 Prior Year Pledges,,,$0,,,,,In 2022 but not 2023,5,
Income,Contributions,Contributions,Contributions,Undesignated,4012 Non Pledge Contributions,,"$10,000","$10,000",,Not a position,,Small Church,Recurring,5,
Income,Contributions,Contributions,Contributions,Undesignated,4013 Vespers Offering,,"$7,000","$7,000",,Not a position,,Small Church,Recurring,5,
Income,Contributions,Contributions,Contributions,Special Offerings,4017 Special Offerings,,"$10,000","$10,000",,Not a position,,Small Church,Recurring,5,
Income,Contributions,Contributions,Contributions,Undesignated,4023 Online Giving Contribution,,$200,$200,,Not a position,,Small Church,Recurring,5,
Income,Contributions,Contributions,Contributions,Undesignated,4025 Concert Series,,$200,$200,,Not a position,,Small Church,Recurring,5,
Income,Contributions,Contributions,Contributions - pledge,Undesignated,4010 Current Year Pledges,,"$335,500","$335,500",,Not a position,,Small Church,Recurring,5,
Income,Contributions,Contributions,Contributions - pledge,Undesignated,4021 Charitable Distributions,,"$32,500","$32,500",,Not a position,,Small Church,Recurring,5,
Income,Covenant,Covenant,Covenant,Covenant Fund,4022 Wednesday Lunch,,"$8,000","$8,000",,Not a position,,Large church,Recurring,6,
Income,Covenant,Covenant,Covenant,Covenant Fund,4026 Audio/Visual Technology,,"$20,000",,"3/2023 Dave: Per Consistory and Worship, changed so $5k from Terc and $13k from Undesignated",,,Large church,,6,
Income,Covenant,Covenant,Covenant,Undesignated,4045 McDonald (Covenant),,"$66,000","$66,000",,Not a position,,Large church,Recurring,6,
Income,Covenant,Covenant,Covenant,Covenant Fund,4047 Covenant Fund Income,,"$47,520","$62,520",3/2023 Dave: Changed to balance budget,Not a position,,Large church,Recurring,6,
Income,Covenant,Covenant,Covenant,Covenant Fund,4048 Covenant Income for M&B,,"$100,000","$100,000",,Not a position,,Large church,Recurring,6,
Expense,Creation Care,Creation Care,Creation Care,Undesignated,6806 Composting,,"-$1,500","-$1,500",,Not a position,,Large church,Recurring,7,
Expense,Creation Care,Creation Care,Creation Care,Undesignated,6807 Supplies,,-$500,-$500,,Not a position,,Large church,Recurring,7,
Expense,Creation Care,Creation Care,Creation Care,Undesignated,6808 Recycled Paper,,-$500,-$500,,Not a position,,Large church,Recurring,7,
Expense,Creation Care,Creation Care,Creation Care,Undesignated,6809 Media,,-$700,-$700,,Not a position,,Large church,Recurring,7,
Expense,Finance,Finance,Finance,Undesignated,8005 Audit and Consulting,,"-$9,000","-$9,000",,Not a position,,Large church,Recurring,8,
Expense,Finance,Finance,Finance,Undesignated,8010 Classis Assessments,,"-$37,000","-$37,000",,Not a position,,Small Church,Recurring,8,
Expense,Finance,Finance,Finance,Undesignated,8020 Misc Finance,,"-$1,500","-$1,500",,Not a position,,Small Church,Recurring,8,
Expense,Finance,Finance,Finance,Undesignated,8022 Finance Charge Online Giving,,"-$1,000","-$1,000",,Not a position,,Small Church,Recurring,8,
Expense,Finance,Finance,Finance,Undesignated,8025 NYS Unemployment Insurance,,"-$2,500","-$2,500",,Not a position,,Small Church,Recurring,8,
Expense,Finance,Finance,Finance,Undesignated,8030 Offering Envelopes,,-$250,-$250,,Not a position,,Small Church,Recurring,8,
Expense,Finance,Finance,Finance,Undesignated,8035 Payroll Processing,,"-$5,000","-$5,000",,Not a position,,Small Church,Recurring,8,
Expense,Finance,Finance,Finance,Undesignated,8040 Stewardship,,-$200,-$200,,Not a position,,Small Church,Recurring,8,
Expense,Finance,Finance,Finance - Insurance,Undesignated,8015 Insurance,,"-$33,000","-$33,000",,Not a position,,Large church,Recurring,8,
Income,Investment Income,Investment Income,Birch,Undesignated,4044 Birch Income,,"$16,922","$16,922",,Not a position,,Large church,Recurring,9,
Income,Investment Income,Investment Income,Endowment,Undesignated,4027 Checking Account,,$0,"$175,700","3/2023 Dave: Per Consistory, added from $702k to balance budget",Not a position,,Large church,1-time,9,
Income,Investment Income,Investment Income,Endowment,Undesignated,4041 Endowment Income,,"$246,000","$188,500",3/2023 Dave: Set to 5% draw,Not a position,,Large church,Recurring,9,
Income,Investment Income,Investment Income,Schermerhorn,Undesignated,4043 Schermerhorn Income,,"$140,000","$140,000",,Not a position,,Large church,Recurring,9,
Income,Investment Income,Investment Income,Tercentenary,Tercentenary Fund,4051 Tercentenary Income,,"$17,350","$22,350",3/2023 Dave: Changed to balance budget,Not a position,,Large church,Recurring,9,
Income,Investment Income,Investment Income,UP Mission,UP Mission Fund,4045 UP Mission Fund Income,,"$34,600","$34,600",,Not a position,,Large church,Recurring,9,
Income,Investment Income,Investment Income,UP Mission,UP Mission Fund,4046 Fidelity UPC Mission Fund,,,$0,,,,,In 2022 but not 2023,9,
Expense,M&B,Covenant Fund,M&B,Covenant Fund,6350 Other Covenant Programs,,"-$42,120","-$42,120",,Not a position,,Large church,Recurring,10,
Expense,M&B,Covenant Fund,M&B,Covenant Fund,6351 Approved Covenant Programs,,,$0,,,,,In 2022 but not 2023,10,
Expense,M&B,Covenant Lunn,M&B,Covenant Fund,6356 Lunn Office,,-$200,-$200,,Not a position,,Large church,Recurring,10,
Expense,Membership,Membership,Membership,Undesignated,6605 Churchwide Social Events,,"-$1,300","-$1,300",,Not a position,,Small Church,Recurring,11,
Expense,Membership,Membership,Membership,Undesignated,6610 Coffee Hour,,-$300,-$300,,Not a position,,Small Church,Recurring,11,
Expense,Membership,Membership,Membership,Undesignated,6620 Supplies Hospitality,,-$300,-$150,3/2023 Oksana: Changes from Membership,Not a position,,Small Church,Recurring,11,
Expense,Membership,Membership,Membership,Undesignated,6705 Membership Committee,,-$300,-$150,3/2023 Oksana: Changes from Membership,Not a position,,Small Church,Recurring,11,
Expense,Mission,M&B,M&B,Covenant Fund,6303 Undesignated and Emergency,,"-$10,000","-$10,000",,Not a position,,Large church,Recurring,12,
Expense,Mission,M&B,M&B,Covenant Fund,6305 Education (M&B),,"-$14,400","-$14,400",,Not a position,,Large church,Recurring,12,
Expense,Mission,M&B,M&B,Covenant Fund,6310 Local Concerns,,"-$44,800","-$44,800",,Not a position,,Large church,Recurring,12,
Expense,Mission,M&B,M&B,Covenant Fund,6315 National Oversseas,,"-$20,000","-$20,000",,Not a position,,Large church,Recurring,12,
Expense,Mission,M&B,M&B,Covenant Fund,6319 Minister Discretionary (Sr Pastor),,"-$1,600","-$1,600",,Not a position,,Large church,Recurring,12,
Expense,Mission,M&B,M&B,Covenant Fund,6322 Ministers Discretionary (Assoc. Pastor),,"-$1,600","-$1,600",,Not a position,,Large church,Recurring,12,
Expense,Mission,M&B,M&B,Covenant Fund,6323 Albany Synod Programs,,"-$7,200","-$7,200",,Not a position,,Large church,Recurring,12,
Expense,Mission,M&B,M&B,Covenant Fund,6324 Camp Fowler support (M&B),,"-$7,200","-$7,200",,Not a position,,Large church,Recurring,12,
Expense,Mission,M&B,M&B,Special Offerings,6325 Special Offerings,,"-$10,000","-$10,000",,Not a position,,Small Church,Recurring,12,
Expense,Mission,M&B,M&B,Special Offerings,6340 Special Offering,,,$0,,,,,In 2022 but not 2023,12,
Expense,Mission,M&B,UP Mission,UP Mission Fund,6326 UP Mission,,"-$34,600","-$34,600",,Not a position,,Large church,Recurring,12,
Expense,Mission,Mission & Volunteer,M&B,Covenant Fund,6366 Wednesday Lunch,,"-$8,000","-$8,000",,Not a position,,Large church,Recurring,12,
Expense,Mission,Mission & Volunteer,M&B,Covenant Fund,6367 Mission & Volunteer Expense,,-$200,-$200,,Not a position,,Large church,Recurring,12,
Expense,Mission,Mission & Volunteer,M&B,Covenant Fund,6368 Kitchen supplies(new),,"-$1,000","-$1,000",,Not a position,,Large church,Recurring,12,
