Date,Account,Amount,AccountNum
2022-01-04,4054 Rental Income,1150.0,4054
2022-01-04,5005 Medical Administration,-29.27,5005
2022-01-04,5014 Medical Sr. Pastor,-58.55,5014
2022-01-04,5054 Medical  APA,-58.55,5054
2022-01-04,5034 Medical Maintenance,-2672.55,5034
2022-01-04,5034 Medical Maintenance,-563.56,5034
2022-01-04,5005 Medical Administration,-563.56,5005
2022-01-04,7075 Regular Services,-57.0,7075
2022-01-04,9015 Copier-Cannon/Rent & Maintenance,-10.0,9015
2022-01-04,4012 Non Pledge Contributions,5.0,4012
2022-01-04,4012 Non Pledge Contributions,35.0,4012
2022-01-04,4013 Vespers Offering,56.0,4013
2022-01-06,5054 Medical  APA,-1837.1,5054
2022-01-06,9040 Postage,-14.7,9040
2022-01-12,4052 Facility Use Income,25.0,4052
2022-01-12,5014 Medical Sr. Pastor,-1548.74,5014
2022-01-12,8015 Insurance,-4342.49,8015
2022-01-12,9055 Staff Searches,-74.0,9055
2022-01-12,7115 Taxes & Water,-1030.04,7115
2022-01-12,7115 Taxes & Water,-315.0,7115
2022-01-12,7075 Regular Services,-1800.0,7075
2022-01-12,4012 Non Pledge Contributions,1980.0,4012
2022-01-12,4013 Vespers Offering,95.0,4013
2022-01-13,5015 Retirement Sr. Pastor,-945.0,5015
2022-01-13,5019 Disability Life,-101.25,5019
2022-01-13,7025 Electricity Parking Lot,-88.01,7025
2022-01-13,8035 Payroll Processing,-12.0,8035
2022-01-14,8035 Payroll Processing,-119.36,8035
2022-01-14,6807 Supplies,-44.21,6807
2022-01-14,4053 Misc Income,13.17,4053
2022-01-14,5013 Wages Sr. Pastor,-2089.79,5013
2022-01-14,5018 Housing Sr. Pastor,-1285.21,5018
2022-01-14,5016 Social Security Offset Sr. Pastor,-209.25,5016
2022-01-14,5053 Wages APA,-1957.92,5053
2022-01-14,5058 Housing Expense APA,-1277.21,5058
2022-01-14,5056 Social Security Offset APA,-198.13,5056
2022-01-14,6373 Wages Mission Coordinator,-1097.42,6373
2022-01-14,5003 Wages Administration,-4247.41,5003
2022-01-14,5043 Wages Music,-1589.04,5043
2022-01-14,5033 Wages Maintenance,-2893.36,5033
2022-01-14,5073 Wages Youth,-658.45,5073
2022-01-14,6075 Vespers,-400.0,6075
2022-01-14,8025 NYS Unemployment Insurance,-261.45,8025
2022-01-14,6374 FICA Mission Cordinator,-83.95,6374
2022-01-14,5002 FICA Administration,-319.04,5002
2022-01-14,5042 FICA Music,-121.56,5042
2022-01-14,5032 FICA Maintenance,-219.19,5032
2022-01-14,5072 FICA Youth,-50.37,5072
2022-01-14,4023 Online Giving Fee,13.14,4023
2022-01-14,4013 Vespers Offering,50.0,4013
2022-01-18,4052 Facility Use Income,50.0,4052
2022-01-18,4012 Non Pledge Contributions,5.0,4012
2022-01-18,4012 Non Pledge Contributions,10.0,4012
2022-01-18,4013 Vespers Offering,25.0,4013
2022-01-18,4022 Wednesday Lunch Offering,278.42,4022
2022-01-20,4021 Charitable Distributions,4500.0,4021
2022-01-20,4021 Charitable Distributions,500.0,4021
2022-01-20,5054 Medical  APA,-1837.1,5054
2022-01-20,9040 Postage,-265.0,9040
2022-01-24,5014 Medical Sr. Pastor,-58.55,5014
2022-01-24,5005 Medical Administration,-76.48,5005
2022-01-24,5054 Medical  APA,-58.55,5054
2022-01-24,9015 Copier-Cannon/Rent & Maintenance,-643.0,9015
2022-01-24,9015 Copier-Cannon/Rent & Maintenance,-53.96,9015
2022-01-24,7075 Regular Services,-318.37,7075
2022-01-25,9060 Telephone & Internet,-165.41,9060
2022-01-25,9005 Internet/comp. repair,-165.41,9005
2022-01-25,9007 Audio Visual Contract Services,-200.0,9007
2022-01-25,6075 Vespers,-100.0,6075
2022-01-25,4012 Non Pledge Contributions,150.0,4012
2022-01-25,4013 Vespers Offering,81.0,4013
2022-01-26,4053 Misc Income,14.47,4053
2022-01-26,5013 Wages Sr. Pastor,-2089.79,5013
2022-01-26,5018 Housing Sr. Pastor,-1285.21,5018
2022-01-26,5016 Social Security Offset Sr. Pastor,-209.25,5016
2022-01-26,5053 Wages APA,-1957.92,5053
2022-01-26,5058 Housing Expense APA,-1277.21,5058
2022-01-26,5056 Social Security Offset APA,-198.13,5056
2022-01-26,6373 Wages Mission Coordinator,-1097.42,6373
2022-01-26,5003 Wages Administration,-4161.72,5003
2022-01-26,5043 Wages Music,-1872.6,5043
2022-01-26,5033 Wages Maintenance,-2989.21,5033
2022-01-26,5073 Wages Youth,-658.45,5073
2022-01-26,6075 Vespers,-100.0,6075
2022-01-26,8025 NYS Unemployment Insurance,-268.78,8025
2022-01-26,6374 FICA Mission Cordinator,-83.95,6374
2022-01-26,5002 FICA Administration,-312.49,5002
2022-01-26,5042 FICA Music,-143.25,5042
2022-01-26,5032 FICA Maintenance,-226.52,5032
2022-01-26,5072 FICA Youth,-50.37,5072
2022-01-26,6366 Covenant fund lunch program,-105.52,6366
2022-01-26,6366 Covenant fund lunch program,-68.07,6366
2022-01-28,8035 Payroll Processing,-114.44,8035
2022-01-28,5034 Medical Maintenance,-563.56,5034
2022-01-28,5005 Medical Administration,-1772.38,5005
2022-01-28,5005 Medical Administration,1088.53,5005
2022-01-28,5034 Medical Maintenance,524.97,5034
2022-01-28,8035 Payroll Processing,-252.0,8035
2022-01-28,4012 Non Pledge Contributions,500.0,4012
2022-01-28,5034 Medical Maintenance,-524.97,5034
2022-01-30,4012 Non Pledge Contributions,120.0,4012
2022-01-30,4013 Vespers Offering,51.0,4013
2022-01-31,8022 Finance Charge Online Giving,-22.64,8022
2022-01-31,8022 Finance Charge Online Giving,-34.4,8022
2022-01-31,6025 Misc Music Expense,-65.99,6025
2022-01-31,6366 Covenant fund lunch program,-87.55,6366
2022-01-31,6366 Covenant fund lunch program,-56.25,6366
2022-01-31,6366 Covenant fund lunch program,-103.04,6366
2022-01-31,6620 Supplies Hospitality,-16.99,6620
2022-01-31,7085 Repairs/Maint 12N Church,-23.66,7085
2022-01-31,7095 Security,-49.97,7095
2022-01-31,7095 Security,-107.99,7095
2022-01-31,7095 Security,-51.98,7095
2022-01-31,7110 Supplies/Materials (Maint.),-57.58,7110
2022-01-31,6077 Audio Sound Expenses,-349.99,6077
2022-01-31,9061 Contract Services,-20.17,9061
2022-01-31,6077 Audio Sound Expenses,-1460.65,6077
2022-01-31,9025 Office Supplies,-63.72,9025
2022-01-31,9025 Office Supplies,-26.06,9025
2022-01-31,9030 Other Admin Expense,-59.4,9030
2022-01-31,9115 Paper,-176.57,9115
2022-01-31,9040 Postage,-58.0,9040
2022-01-31,9061 Contract Services,-149.9,9061
2022-01-31,5017 Business & Auto Expense Sr. Pastor,-58.68,5017
2022-01-31,6005 Communion,-68.99,6005
2022-01-31,6366 Covenant fund lunch program,-74.19,6366
